"Campaign ID",Channel,"Advertisement Type",CPM,CTR,CPC,CPA,"Conversion Rate","Revenue Uplift",Impressions,"Project Type",Clicks,"Lead Generation",Comments,date_part,time_part,Revenue,ROAS,"Ad Spend"
00001,Affiliate,Banner,3.52,0.018,1.4,23.4,0.0268,16.83,23581,Retail,424,222,"Moderate CTR with significant revenue uplift.",2023-01-01,00:00:00,11905.92,20.06,593.60
00002,"Social Media",Text,8.33,0.0204,1.36,26.59,0.0273,-4.75,98086,Telecom,2000,834,"High impressions but low conversion.",2023-01-01,00:21:01,52648.20,19.36,2720.00
00003,Affiliate,Video,12.17,0.0393,1.81,26.46,0.008,-2.09,9476,Telecom,372,78,"Low engagement suggests creative changes needed.",2023-01-01,00:42:03,9646.26,14.33,673.32
00004,Affiliate,Text,6.41,0.0219,0.84,6.15,0.0243,-4.83,60983,Telecom,1335,391,"High ROAS indicates effective spend.",2023-01-01,01:03:04,8128.15,7.25,1121.40
00005,"Social Media",Banner,1.37,0.0227,0.54,47.85,0.008,8.78,93858,Telecom,2130,762,"High ROAS indicates effective spend.",2023-01-01,01:24:06,109054.94,94.81,1150.20
00006,"Social Media",Video,8.56,0.0282,0.79,20.14,0.0207,12.11,9713,Retail,273,158,"Strong click-through but weak CPA.",2023-01-01,01:45:07,6322.95,29.32,215.67
00007,Affiliate,Text,12.83,0.0077,1.42,37.02,0.0204,-1.14,88379,Retail,680,238,"Moderate CTR with significant revenue uplift.",2023-01-01,02:06:09,25173.60,26.07,965.60
00008,"Search Engine",Banner,2.52,0.0374,0.28,37.92,0.0198,1.3,89219,Telecom,3336,1237,"Needs review due to rising CPC.",2023-01-01,02:27:10,127766.13,136.78,934.08
00009,Affiliate,Banner,1.41,0.0091,0.26,44.96,0.021,3.96,10017,Retail,91,52,"Moderate CTR with significant revenue uplift.",2023-01-01,02:48:12,5236.94,221.34,23.66
00010,Affiliate,Text,12.33,0.0449,1.9,18.31,0.008,-3.62,71407,Retail,3206,1489,"Excellent conversion and ROI.",2023-01-01,03:09:13,58701.86,9.64,6091.40
00011,Affiliate,Video,4.74,0.0294,0.26,43.47,0.0136,18.01,37436,Telecom,1100,658,"Retail campaigns underperforming slightly.",2023-01-01,03:30:15,52598.70,183.91,286.00
00012,Affiliate,Text,6.1,0.0474,1.93,44.17,0.0166,9.22,34886,Telecom,1653,868,"High impressions but low conversion.",2023-01-01,03:51:16,75933.53,23.80,3190.29
00013,"Social Media",Video,2.22,0.0231,1.48,13.15,0.0063,12.24,35577,Telecom,821,210,"High impressions but low conversion.",2023-01-01,04:12:18,12415.57,10.22,1215.08
00014,Affiliate,Banner,2.35,0.0493,1.02,13.95,0.0059,2.42,99354,Retail,4898,1671,"Moderate CTR with significant revenue uplift.",2023-01-01,04:33:19,69010.37,13.81,4995.96
